Customer ID,Name,Age,Mobile No.,Ratings
303,zrrfgxRW,71,06085720464,"[3.99, 3.69, 3.23]"
479,Aaofqic,40,06136672921,"[1.77, 4.97, 3.9, 2.53]"
351,Rfqjd,51,03507943850,"[2.52, 2.96, 1.52, 3.12, 3.07, 1.11, 3.35]"
865,cnzKSmYt,55,07608289323,"[4.31, 3.61, 1.25, 2.12, 1.6, 3.7, 3.54, 3.1, 2.7, 3.11]"
734,DOcGqz,34,04489222640,"[4.48, 3.59]"
670,BUXEUmS,82,09217520749,"[2.86, 3.16, 3.65, 1.39, 2.21, 4.62, 1.35, 4.54]"
382,VtJNKYMX,25,07247185569,"[3.28, 3.05]"
161,AWlMC,23,07698504969,"[1.42, 4.62, 2.27, 3.02, 1.21, 3.45, 3.51, 4.42, 1.96, 3.79]"
249,eBvqbq,54,03168734307,"[3.29, 3.05, 3.92]"
919,RLhZB,86,09427221572,"[2.63, 2.72, 1.21, 4.89, 1.61, 3.0, 2.66, 3.48]"
516,cAKjxF,25,04800106349,"[3.89, 1.75]"
855,dvBiF,85,02945246017,"[2.49, 2.35, 2.19]"
565,qKdyuqQx,25,01281279280,"[2.99, 2.81, 3.66, 3.33, 2.1]"
705,TxoGoOHh,86,02827773600,[1.21]
988,TOlMnFE,52,07860769194,"[4.05, 1.35, 2.8, 3.39, 4.8, 1.59, 4.58]"
956,aDNzg,56,08477504787,"[4.95, 4.38, 3.62]"
455,CRLScYXG,56,02321006699,"[1.67, 2.2, 1.98, 3.45, 4.6, 4.06, 3.97, 2.22, 1.6]"
922,lcWBKvCL,64,04170846693,"[4.45, 4.8, 4.57, 2.59]"
702,SQtiqt,19,02449982868,"[1.69, 4.44, 3.14, 4.58, 1.68, 2.47, 4.39, 2.84]"
257,Ixni,28,02359710379,"[2.12, 2.97, 4.85, 3.04, 2.69, 1.98, 2.71]"
763,FPlkO,80,04112631678,"[2.53, 3.68, 3.68, 2.73, 2.91, 1.34, 3.77, 4.7, 4.22]"
372,cSupJ,45,07584443949,"[1.91, 2.2, 2.49, 4.62]"
452,PzxzfcUn,34,09086771110,"[2.91, 1.36, 1.37, 2.51, 1.6]"
970,HvYVOE,34,06495084415,[3.73]
712,qUmEqugQ,40,05568847871,"[3.84, 2.96, 1.7, 4.27, 1.03]"
820,wBoyP,53,04591951375,"[2.53, 3.8, 2.55, 1.43, 3.43, 2.78, 4.12, 1.09, 1.34, 4.73]"
269,uvfXiUCi,46,03673467653,"[3.92, 1.27, 1.97, 4.33, 4.44, 2.46, 2.8, 3.52]"
466,wyCnnX,54,07265065135,"[4.05, 1.15, 2.27, 2.5, 2.46, 1.37, 3.07, 3.66, 3.57, 1.37]"
655,OcHBkll,66,03986438706,[2.13]
348,kpbIwtD,78,08500719704,"[2.1, 2.71, 4.26, 4.41, 3.86, 4.87, 2.49, 3.83]"
114,VrHhtzzV,46,05493049450,"[4.85, 3.74, 2.87, 4.28, 1.44, 3.28, 2.44, 2.88, 1.69, 4.01]"
726,WzKmWYLm,76,01199779150,"[3.36, 2.11, 3.14, 1.92]"
104,BYiB,40,05009784698,"[3.39, 4.59, 1.59, 3.23, 2.47]"
622,ulXU,35,02713096475,"[2.17, 3.96, 4.44, 4.07]"
380,slIOmCBW,58,01792010432,"[2.7, 1.91, 2.28, 1.92, 1.82, 4.22, 4.37]"
391,LdvqNF,23,01222400541,"[3.12, 4.86, 4.43, 4.98, 4.71, 2.98, 3.35, 3.82, 2.31, 4.36]"
764,nUuyl,90,04177398672,"[3.77, 3.43, 3.05, 2.4, 4.44, 3.26, 1.34, 3.78]"
681,GBOZorg,66,01796574722,"[2.31, 2.89, 2.8, 2.43, 4.1, 1.0, 3.33, 4.08, 2.08, 1.87]"
962,CLIIJtd,45,04676573444,[1.51]
944,nieS,42,07530195593,"[2.85, 3.53, 1.02, 2.89, 2.98]"
837,GNZt,74,08472998687,"[2.88, 2.49, 1.59, 1.94, 1.27, 2.65, 4.24, 4.92, 3.22, 2.78]"
639,WALdiETB,79,06581708250,"[3.75, 4.16, 3.19, 3.67]"
333,WLWbQHeY,55,09241068646,"[3.08, 3.0, 4.37, 2.58, 1.79, 2.68, 1.38, 3.85]"
803,ZOND,70,04516364935,"[3.22, 3.59, 2.66, 4.03, 3.48, 2.06, 3.06, 3.76, 2.53]"
493,bamzwtOS,74,03847055635,"[1.63, 2.36]"
222,xUQbeX,20,09780128169,"[2.22, 2.61, 1.51]"
608,FBUB,47,09913859141,[4.77]
110,qoudwbh,85,04357700937,"[4.11, 2.5, 3.83, 1.54, 2.15, 3.58, 2.0, 2.66, 4.15]"
110,mVoIHXK,22,05949453033,[1.9]
455,zoxVYIa,55,08531959543,"[3.39, 2.4, 2.2, 1.0]"
512,rFUlvdh,58,08016122683,[1.47]
197,XpBo,71,09138879652,"[3.48, 1.44, 2.84, 1.91, 2.31, 3.47]"
165,OwecKYX,76,09013307547,"[3.76, 2.13, 1.88, 2.05, 3.69, 3.28, 3.68, 4.35, 1.05]"
340,QrhE,23,01587511832,[3.45]
254,ctVGCH,68,09335474872,"[3.68, 2.53, 1.08, 3.7]"
293,KIAN,22,06646179211,"[3.56, 1.96]"
118,aSReIpoR,57,02101303860,[1.93]
710,IKph,81,05681643533,"[2.42, 4.32, 4.82, 4.05]"
609,rnPJytq,39,03396459397,"[1.65, 1.32, 4.96, 1.47, 1.61, 4.49]"
729,WOvWnkV,57,06067010932,"[4.63, 2.83, 3.1, 2.86, 1.46, 2.11, 1.94, 3.68]"
724,EBwvdd,59,01948613836,"[2.22, 4.89, 4.25, 4.15, 2.95, 1.5, 4.14, 2.04, 1.11, 3.37]"
548,RFleQaV,39,05952645336,"[3.36, 2.52, 3.64, 3.6]"
264,Vczuwqo,35,01285261508,"[4.71, 2.73, 4.77]"
855,MupOU,58,04855453655,"[2.7, 1.97, 1.29, 4.18]"
450,GuHMO,45,02901591194,[4.71]
797,cGoG,90,07067933674,"[3.25, 1.1, 3.89]"
659,NyOhF,48,04784281766,"[3.79, 2.04, 3.83]"
447,lMCl,87,05603228734,"[2.91, 4.94]"
392,hfqH,36,01802715527,"[2.76, 2.01, 2.87]"
505,BthX,23,04553406570,"[2.4, 2.99, 3.86, 2.85, 3.56, 4.27]"
885,NlAPhF,34,01907348055,"[2.84, 2.86, 4.5, 1.74, 1.68, 1.58, 2.49, 1.45, 3.56]"
834,HQwLFF,64,09589230183,"[2.79, 3.24]"
589,hBjYiDVA,19,05135808471,"[3.66, 2.1, 2.04, 3.71]"
774,EhBF,74,05620619288,"[1.39, 1.31, 1.09, 4.65, 2.24, 4.63, 2.25]"
283,XmWzK,18,01802497070,"[1.03, 1.18, 2.29, 2.32, 2.88, 4.58, 2.21, 4.29]"
926,ghZFD,69,07690982213,"[4.31, 4.83, 1.81, 4.9, 3.31, 1.15, 4.63, 1.49]"
817,zuPCgja,39,02461736075,"[3.76, 3.41, 2.7, 2.76, 4.55, 3.26, 4.97]"
380,lNmpal,48,09758849573,"[1.45, 4.75, 2.8, 1.29, 1.85, 1.09, 1.51]"
743,MmVouG,84,01193802769,"[1.68, 2.21, 2.01, 3.61]"
